City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Altoona,US,88.81,scattered clouds,40.5187,-78.3947,Wingate by Wyndham Altoona Downtown/Medical Center
6,Atuona,PF,77.97,broken clouds,-9.8,-139.0333,Villa Enata
11,Tiruvannamalai,IN,83.23,scattered clouds,12.2167,79.0667,Hotel Aakash
15,Bosaso,SO,89.04,broken clouds,11.2842,49.1816,Red Sea Hotel
24,Vanimo,PG,75.42,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
25,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
31,Pacific Grove,US,83.8,few clouds,36.6177,-121.9166,Lovers Point Inn
32,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Kavieng,PG,81.0,light rain,-2.5744,150.7967,Nusa Island Retreat
35,Seoul,KR,81.97,clear sky,37.5683,126.9778,롯데호텔 서울
42,Bubaque,GW,79.41,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
45,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Hilo,US,82.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Lorengau,PG,78.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
64,Nisia Floresta,BR,83.21,clear sky,-6.0911,-35.2086,Rancho Crepusculo
65,Cayenne,GF,80.64,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
72,Ternate,ID,80.29,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
80,Butaritari,KI,81.48,moderate rain,3.0707,172.7902,Isles Sunset Lodge
83,Kindu,CD,78.89,scattered clouds,-2.95,25.95,Résidence Okanda
87,Gospic,HR,78.49,broken clouds,44.5461,15.3747,Apartment Saric
90,Nishihara,JP,80.26,moderate rain,26.1842,127.7558,Minshuku Agaihama
96,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
97,Awbari,LY,86.04,clear sky,26.5921,12.7805,فندق أوباري
98,Marica,BR,82.56,clear sky,-22.9194,-42.8186,Marica Hills
99,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
101,Jamestown,US,85.32,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
104,Roquetas De Mar,ES,77.61,clear sky,36.7642,-2.6148,Hotel Don Ángel
107,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
108,Shelburne,CA,83.75,clear sky,44.0787,-80.2041,The Retreat at the Farm
112,Fillmore,US,88.79,clear sky,43.6666,-92.1002,Country Trails Inn & Suites
116,Gizo,SB,80.53,light rain,-8.103,156.8419,Imagination Island
122,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
124,Sibolga,ID,76.64,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
139,Gasa,PS,83.91,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
141,Sioux Lookout,CA,82.78,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
143,Puerto Madero,MX,89.8,broken clouds,14.7208,-92.4215,Hotel La Central
145,Bilma,NE,86.67,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
148,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
151,Katsuura,JP,80.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
153,Nador,MA,89.67,clear sky,35.174,-2.9287,Hôtel La Giralda
156,Kulhudhuffushi,MV,81.84,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
159,Guerrero Negro,MX,78.66,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
163,Pinawa,CA,83.8,scattered clouds,50.1489,-95.8811,Pinawa Motel
