,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Altoona,US,40.5187,-78.3947,88.81,59,39,1.01,scattered clouds
1,Barrow,US,71.2906,-156.7887,44.62,87,90,10.36,overcast clouds
2,Upernavik,GL,72.7868,-56.1549,41.25,81,12,13.24,few clouds
3,Kodiak,US,57.79,-152.4072,51.31,87,90,6.91,fog
4,Valparaiso,CL,-33.0393,-71.6273,58.64,82,90,6.91,drizzle
5,Kastamonu,TR,41.5,33.6667,56.07,82,0,4.09,clear sky
6,Atuona,PF,-9.8,-139.0333,77.97,69,68,22.95,broken clouds
7,Sampit,ID,-2.5333,112.95,70.36,97,2,2.44,clear sky
8,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,20,12.66,few clouds
9,Busselton,AU,-33.65,115.3333,58.08,65,8,20.58,clear sky
10,Ribeira Grande,PT,38.5167,-28.7,73.8,78,20,9.22,few clouds
11,Tiruvannamalai,IN,12.2167,79.0667,83.23,61,49,11.56,scattered clouds
12,Ancud,CL,-41.8697,-73.8203,49.53,60,33,10.54,scattered clouds
13,Lebu,CL,-37.6167,-73.65,52.11,88,39,12.1,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,41.11,60,0,14.97,clear sky
15,Bosaso,SO,11.2842,49.1816,89.04,38,56,15.7,broken clouds
16,Antalaha,MG,-14.9003,50.2788,65.3,84,76,7.7,broken clouds
17,East London,ZA,-33.0153,27.9116,59.49,46,4,7.78,clear sky
18,Nikolskoye,RU,59.7035,30.7861,67.89,67,7,2.46,clear sky
19,Port Elizabeth,ZA,-33.918,25.5701,50.29,87,40,3.44,scattered clouds
20,Qaanaaq,GL,77.484,-69.3632,40.48,70,89,5.79,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,47.48,92,100,3.38,overcast clouds
22,Narsaq,GL,60.9167,-46.05,59.22,53,42,4.36,scattered clouds
23,Saldanha,ZA,-33.0117,17.9442,59.05,51,100,11.05,overcast clouds
24,Vanimo,PG,-2.6741,141.3028,75.42,81,100,2.59,overcast clouds
25,Georgetown,MY,5.4112,100.3354,83.89,87,20,0.0,few clouds
26,Airai,TL,-8.9266,125.4092,55.85,52,76,3.22,broken clouds
27,Chokurdakh,RU,70.6333,147.9167,41.11,67,1,9.71,clear sky
28,Necochea,AR,-38.5473,-58.7368,50.04,83,100,18.01,overcast clouds
29,Vaini,TO,-21.2,-175.2,68.16,94,20,0.0,fog
30,Barra Do Garcas,BR,-15.89,-52.2567,91.98,24,0,0.0,clear sky
31,Pacific Grove,US,36.6177,-121.9166,83.8,80,20,5.01,few clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,35,8.01,scattered clouds
33,Kavieng,PG,-2.5744,150.7967,81.0,76,93,3.51,light rain
34,Chermoz,RU,58.787,56.1489,54.23,68,100,9.46,overcast clouds
35,Seoul,KR,37.5683,126.9778,81.97,69,0,9.22,clear sky
36,Cabo San Lucas,MX,22.8909,-109.9124,97.52,62,1,12.66,clear sky
37,Lavrentiya,RU,65.5833,-171.0,44.42,99,100,3.76,light rain
38,Abu Dhabi,AE,24.4667,54.3667,98.71,63,86,3.44,overcast clouds
39,Dikson,RU,73.5069,80.5464,39.25,86,100,13.73,overcast clouds
40,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,100,90,10.36,light rain
41,Ushuaia,AR,-54.8,-68.3,35.26,87,75,25.32,light rain
42,Bubaque,GW,11.2833,-15.8333,79.41,81,100,9.55,overcast clouds
43,Plettenberg Bay,ZA,-34.0527,23.3716,58.78,47,97,5.41,overcast clouds
44,Cape Town,ZA,-33.9258,18.4232,64.11,56,0,3.44,clear sky
45,Kapaa,US,22.0752,-159.319,82.72,81,75,4.0,light rain
46,Ahipara,NZ,-35.1667,173.1667,57.36,91,14,10.92,few clouds
47,Falesti,MD,47.5736,27.7092,73.47,58,0,4.7,clear sky
48,Cuamba,MZ,-14.8031,36.5372,58.32,71,5,7.92,clear sky
49,Hilo,US,19.7297,-155.09,82.8,86,90,4.61,overcast clouds
50,Nome,US,64.5011,-165.4064,50.07,81,90,10.36,light rain
51,Rikitea,PF,-23.1203,-134.9692,70.65,67,38,6.42,scattered clouds
52,Barcelos,PT,41.5388,-8.6151,73.29,90,35,5.12,scattered clouds
53,Bonavista,CA,48.6499,-53.1147,64.4,84,23,12.08,few clouds
54,Raudeberg,NO,61.9875,5.1352,73.0,84,0,11.92,clear sky
55,Bluff,NZ,-46.6,168.3333,47.8,87,100,4.81,moderate rain
56,Thinadhoo,MV,0.5333,72.9333,81.84,70,65,2.01,broken clouds
57,Adilcevaz,TR,38.8039,42.7342,71.31,40,0,4.83,clear sky
58,Leningradskiy,RU,69.3833,178.4167,37.8,90,100,4.65,overcast clouds
59,Mubende,UG,0.5606,31.39,64.29,63,82,0.65,broken clouds
60,Saskylakh,RU,71.9167,114.0833,55.15,68,85,13.8,overcast clouds
61,Lorengau,PG,-2.0226,147.2712,78.15,85,100,9.26,overcast clouds
62,Constitucion,CL,-35.3333,-72.4167,53.65,86,26,9.13,scattered clouds
63,Sesheke,ZM,-17.4759,24.2968,53.6,53,0,4.88,clear sky
64,Nisia Floresta,BR,-6.0911,-35.2086,83.21,71,9,11.79,clear sky
65,Cayenne,GF,4.9333,-52.3333,80.64,90,75,1.01,heavy intensity rain
66,Yulara,AU,-25.2406,130.9889,46.24,57,5,4.61,clear sky
67,Opuwo,NA,-18.0607,13.84,63.45,31,4,7.58,clear sky
68,Mar Del Plata,AR,-38.0023,-57.5575,55.42,58,90,10.0,overcast clouds
69,Bafoulabe,ML,13.8065,-10.8321,83.97,69,100,4.27,overcast clouds
70,Clyde River,CA,70.4692,-68.5914,35.83,100,90,8.05,mist
71,Kaitangata,NZ,-46.2817,169.8464,48.92,66,100,3.02,light rain
72,Ternate,ID,0.8,127.4,80.29,79,100,5.3,overcast clouds
73,Talnakh,RU,69.4865,88.3972,55.8,93,100,4.88,overcast clouds
74,Albany,US,42.6001,-73.9662,85.03,75,60,1.99,broken clouds
75,Klaksvik,FO,62.2266,-6.589,52.72,95,100,11.18,overcast clouds
76,Bilibino,RU,68.0546,166.4372,48.81,67,42,4.0,scattered clouds
77,Hermanus,ZA,-34.4187,19.2345,62.91,53,100,9.73,overcast clouds
78,Arman,RU,59.7,150.1667,53.47,99,100,5.7,light rain
79,Salym,RU,60.0625,71.4789,54.0,91,100,8.3,overcast clouds
80,Butaritari,KI,3.0707,172.7902,81.48,77,86,10.69,moderate rain
81,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,36,11.92,scattered clouds
82,Cidreira,BR,-30.1811,-50.2056,68.14,67,0,10.83,clear sky
83,Kindu,CD,-2.95,25.95,78.89,37,46,4.88,scattered clouds
84,Souillac,MU,-20.5167,57.5167,70.18,64,20,12.66,few clouds
85,New Norfolk,AU,-42.7826,147.0587,44.1,68,47,3.0,scattered clouds
86,Kalur Kot,PK,32.1564,71.2594,102.49,32,18,8.57,few clouds
87,Gospic,HR,44.5461,15.3747,78.49,51,79,6.02,broken clouds
88,Port Augusta,AU,-32.5,137.7667,50.7,77,0,9.62,clear sky
89,Hobart,AU,-42.8794,147.3294,44.46,72,40,5.01,scattered clouds
90,Nishihara,JP,26.1842,127.7558,80.26,94,75,12.66,moderate rain
91,Qasigiannguit,GL,68.8193,-51.1922,55.65,53,99,4.34,overcast clouds
92,Inongo,CD,-1.95,18.2667,74.7,46,86,4.47,overcast clouds
93,Panzhihua,CN,26.5851,101.7128,68.72,91,76,1.52,broken clouds
94,Saint George,US,37.1041,-113.5841,97.63,36,1,1.01,clear sky
95,Carnarvon,AU,-24.8667,113.6333,53.67,74,0,5.75,clear sky
96,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,scattered clouds
97,Awbari,LY,26.5921,12.7805,86.04,20,0,10.27,clear sky
98,Marica,BR,-22.9194,-42.8186,82.56,60,0,12.19,clear sky
99,Praia,CV,14.9215,-23.5087,79.34,61,40,16.11,scattered clouds
100,Eureka,US,40.8021,-124.1637,62.26,79,100,5.99,overcast clouds
101,Jamestown,US,42.097,-79.2353,85.32,57,40,9.73,scattered clouds
102,Luba,GQ,3.4568,8.5547,78.69,81,60,6.96,broken clouds
103,San Patricio,US,28.017,-97.5169,95.09,41,0,12.5,clear sky
104,Roquetas De Mar,ES,36.7642,-2.6148,77.61,69,0,5.08,clear sky
105,Emba,KZ,48.8264,58.1442,74.25,40,0,8.43,clear sky
106,Torbay,CA,47.6666,-52.7314,62.76,86,75,9.22,broken clouds
107,Tiarei,PF,-17.5333,-149.3333,80.62,68,1,9.78,clear sky
108,Shelburne,CA,44.0787,-80.2041,83.75,37,0,15.41,clear sky
109,Khatanga,RU,71.9667,102.5,48.52,89,31,6.87,scattered clouds
110,Yellowknife,CA,62.456,-114.3525,63.32,51,40,9.22,scattered clouds
111,Beringovskiy,RU,63.05,179.3167,51.76,90,100,1.61,overcast clouds
112,Fillmore,US,43.6666,-92.1002,88.79,34,1,9.22,clear sky
113,Murray Bridge,AU,-35.1167,139.2667,52.84,80,96,13.85,overcast clouds
114,Novikovo,RU,51.1537,37.8879,63.39,64,10,3.58,clear sky
115,Port Alfred,ZA,-33.5906,26.891,61.18,43,58,11.21,broken clouds
116,Gizo,SB,-8.103,156.8419,80.53,79,30,7.31,light rain
117,Krasnovka,RU,48.8177,40.0923,70.25,52,11,8.95,few clouds
118,Khandbari,NP,27.3747,87.2039,73.49,93,100,0.54,moderate rain
119,Grindavik,IS,63.8424,-22.4338,50.56,87,75,27.63,broken clouds
120,Avarua,CK,-21.2078,-159.775,71.65,100,75,2.3,light rain
121,Mocuba,MZ,-16.8392,36.9856,61.18,82,71,5.41,broken clouds
122,San Cristobal,VE,7.7669,-72.225,80.78,52,100,4.43,overcast clouds
123,Zambezi,ZM,-13.5432,23.1047,57.11,43,0,6.87,clear sky
124,Sibolga,ID,1.7427,98.7792,76.64,82,26,3.38,scattered clouds
125,Baghdad,IQ,33.3406,44.4009,100.31,22,0,5.75,clear sky
126,Luderitz,NA,-26.6481,15.1594,67.35,23,100,4.76,overcast clouds
127,Yabrud,SY,33.9674,36.6574,73.06,43,0,1.52,clear sky
128,Bengkulu,ID,-3.8004,102.2655,74.89,87,0,5.5,clear sky
129,Nouadhibou,MR,20.931,-17.0347,71.58,88,8,20.71,clear sky
130,Vostok,RU,46.4856,135.8833,66.11,87,100,3.4,overcast clouds
131,Ilulissat,GL,69.2167,-51.1,55.42,35,75,13.8,broken clouds
132,Aklavik,CA,68.2191,-135.0107,57.2,72,90,13.8,overcast clouds
133,Mossendjo,CG,-2.9506,12.7261,72.86,60,66,2.71,broken clouds
134,Chapais,CA,49.7834,-74.8492,64.18,50,91,8.93,overcast clouds
135,Dachau,DE,48.26,11.434,69.39,81,48,3.22,scattered clouds
136,Avera,US,33.194,-82.5271,91.71,51,93,3.74,overcast clouds
137,Waitati,NZ,-45.75,170.5667,46.15,86,100,7.83,overcast clouds
138,Husavik,IS,66.0449,-17.3389,58.91,64,100,6.26,overcast clouds
139,Gasa,PS,31.5,34.4667,83.91,75,0,8.28,clear sky
140,Ostrovnoy,RU,68.0531,39.5131,45.79,90,100,16.26,overcast clouds
141,Sioux Lookout,CA,50.1001,-91.917,82.78,41,20,20.71,few clouds
142,Kiama,AU,-34.6833,150.8667,56.25,64,0,10.0,clear sky
143,Puerto Madero,MX,14.7208,-92.4215,89.8,66,75,6.91,broken clouds
144,Provideniya,RU,64.3833,-173.3,46.51,100,90,4.47,moderate rain
145,Bilma,NE,18.6853,12.9164,86.67,50,94,19.24,overcast clouds
146,Taltal,CL,-25.4,-70.4833,60.76,71,24,5.26,few clouds
147,Verkhoyansk,RU,67.5447,133.385,60.93,60,82,1.63,broken clouds
148,Victoria,HK,22.2855,114.1577,86.38,83,16,1.01,few clouds
149,Bredasdorp,ZA,-34.5322,20.0403,47.52,87,100,3.44,overcast clouds
150,Morondava,MG,-20.2833,44.2833,70.95,55,33,16.37,scattered clouds
151,Katsuura,JP,35.1333,140.3,80.11,83,56,12.08,broken clouds
152,Fairbanks,US,64.8378,-147.7164,65.23,62,75,1.01,broken clouds
153,Nador,MA,35.174,-2.9287,89.67,39,0,20.71,clear sky
154,Sitka,US,57.0531,-135.33,57.09,77,75,0.0,light rain
