City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2021-07-24 21:47:15,-42.8794,147.3294,45.27,70,75,3.0
1,Mount Pleasant,US,2021-07-24 21:46:02,32.7941,-79.8626,88.0,62,1,1.01
2,Viedma,AR,2021-07-24 21:50:26,-40.8135,-62.9967,45.5,63,100,10.11
3,Jamestown,US,2021-07-24 21:50:31,42.097,-79.2353,74.52,88,90,5.01
4,Tiarei,PF,2021-07-24 21:50:31,-17.5333,-149.3333,80.62,73,34,10.0
5,Khatanga,RU,2021-07-24 21:50:32,71.9667,102.5,56.43,62,57,17.52
6,Arraial Do Cabo,BR,2021-07-24 21:50:32,-22.9661,-42.0278,69.76,68,0,16.11
7,Yumen,CN,2021-07-24 21:50:33,40.2833,97.2,73.33,51,44,4.85
8,Port Washington,US,2021-07-24 21:50:33,40.8257,-73.6982,82.44,55,75,4.0
9,Talnakh,RU,2021-07-24 21:50:34,69.4865,88.3972,48.54,91,100,0.34
10,Great Bend,US,2021-07-24 21:50:34,38.3645,-98.7648,100.45,39,20,1.01
11,Grindavik,IS,2021-07-24 21:50:34,63.8424,-22.4338,51.75,87,75,11.5
12,Kaitangata,NZ,2021-07-24 21:50:35,-46.2817,169.8464,42.93,51,83,4.09
13,Yulara,AU,2021-07-24 21:50:35,-25.2406,130.9889,35.44,75,33,4.61
14,New Norfolk,AU,2021-07-24 21:50:36,-42.7826,147.0587,44.92,74,82,1.99
15,Burns Lake,CA,2021-07-24 21:46:59,54.2331,-125.7533,65.62,38,95,10.22
16,Vostok,RU,2021-07-24 21:50:36,46.4856,135.8833,78.17,68,78,1.57
17,Vardo,NO,2021-07-24 21:50:37,70.3705,31.1107,46.06,84,99,27.92
18,Vaini,TO,2021-07-24 21:50:37,-21.2,-175.2,78.96,94,20,4.61
19,Margate,GB,2021-07-24 21:50:37,51.3813,1.3862,66.31,89,100,1.99
20,Faya,SA,2021-07-24 21:50:37,18.3851,42.4509,66.31,68,67,3.11
21,Ekhabi,RU,2021-07-24 21:50:38,53.5102,142.9671,67.69,94,96,9.48
